# sigma, u, d0, d1
9.356021789643931275e-01 8.457208669394565836e-01 -8.396605780294150723e-01 -4.293718864923145445e-02
9.383980441703357878e-01 8.489451976744042394e-01 -8.377492864912556847e-01 -4.283945215012102681e-02
9.412117295121287253e-01 8.521908861193829843e-01 -8.358342362350020815e-01 -4.274152344383532615e-02
9.440434019188883585e-01 8.554581331349673246e-01 -8.339154210535627554e-01 -4.264340221296628042e-02
9.468932303843025089e-01 8.587471420601232586e-01 -8.319928347640498378e-01 -4.254508814134345951e-02
9.497613859985664098e-01 8.620581187504768872e-01 -8.300664712081828878e-01 -4.244658091405480171e-02
9.526480419809022493e-01 8.653912716172982300e-01 -8.281363242526571522e-01 -4.234788021746541814e-02
9.555533737126971072e-01 8.687468116672124596e-01 -8.262023877895391388e-01 -4.224898573923779183e-02
9.584775587712635048e-01 8.721249525426547633e-01 -8.242646557366721805e-01 -4.214989716835255279e-02
9.614207769642237889e-01 8.755259105630900374e-01 -8.223231220380478046e-01 -4.205061419512744203e-02
9.643832103645517684e-01 8.789499047670064069e-01 -8.203777806642064130e-01 -4.195113651123782983e-02
9.673650433462877007e-01 8.823971569547059968e-01 -8.184286256126567238e-01 -4.185146380973812918e-02
9.703664626209022037e-01 8.858678917319083856e-01 -8.164756509082322644e-01 -4.175159578508005898e-02
9.733876572743908051e-01 8.893623365541843961e-01 -8.145188506035345721e-01 -4.165153213313529251e-02
9.764288188050452844e-01 8.928807217722393164e-01 -8.125582187793024547e-01 -4.155127255121432439e-02
9.794901411619717502e-01 8.964232806780652041e-01 -8.105937495448360952e-01 -4.145081673808820311e-02
9.825718207843358032e-01 8.999902495519805923e-01 -8.086254370383898493e-01 -4.135016439400857058e-02
9.856740566413741966e-01 9.035818677105789121e-01 -8.066532754275848038e-01 -4.124931522072876333e-02
9.887970502731791012e-01 9.071983775556030638e-01 -8.046772589098232231e-01 -4.114826892152505244e-02
9.919410058322684076e-01 9.108400246237745579e-01 -8.026973817126793476e-01 -4.104702520121655818e-02
9.951061301259764846e-01 9.145070576375882165e-01 -8.007136380943303822e-01 -4.094558376618734341e-02
9.982926326596712752e-01 9.181997285571042999e-01 -7.987260223439631712e-01 -4.084394432440720257e-02
1.001500725680807946e+00 9.219182926327553762e-01 -7.967345287821758770e-01 -4.074210658545217301e-02
1.004730624223875823e+00 9.256630084591925822e-01 -7.947391517614231793e-01 -4.064007026052731536e-02
1.007982546156197978e+00 9.294341380301966993e-01 -7.927398856663950832e-01 -4.053783506248610780e-02
1.011256712224674725e+00 9.332319467946760261e-01 -7.907367249144741095e-01 -4.043540070585378149e-02
1.014553346103428844e+00 9.370567037137783606e-01 -7.887296639561276468e-01 -4.033276690684743648e-02
1.017872674442413583e+00 9.409086813191422927e-01 -7.867186972753379415e-01 -4.022993338339796165e-02
1.021214926916997223e+00 9.447881557723154522e-01 -7.847038193900334191e-01 -4.012689985517215591e-02
1.024580336278529291e+00 9.486954069253653588e-01 -7.826850248524920284e-01 -4.002366604359333668e-02
