# sigma, d0, d1
1.194653863748675438e+00 -1.169143027085044029e+00 5.029924014592379589e-01
1.190618068396430917e+00 -1.171716256667556522e+00 5.041252925165126131e-01
1.186616244988417668e+00 -1.174277703401624739e+00 5.052530671607005086e-01
1.182647952940485414e+00 -1.176827451960416937e+00 5.063757614446865452e-01
1.178712759254814113e+00 -1.179365586301014179e+00 5.074934111269113757e-01
1.174810238358529491e+00 -1.181892189669612847e+00 5.086060516733192927e-01
1.170939971946399094e+00 -1.184407344606773105e+00 5.097137182592988980e-01
1.167101548827513158e+00 -1.186911132952698678e+00 5.108164457716117823e-01
1.163294564775717355e+00 -1.189403635852464891e+00 5.119142688104005856e-01
1.159518622383872266e+00 -1.191884933761336640e+00 5.130072216911193417e-01
1.155773330921624709e+00 -1.194355106450014858e+00 5.140953384465637432e-01
1.152058306196795501e+00 -1.196814233009952266e+00 5.151786528288226918e-01
1.148373170420092348e+00 -1.199262391858623600e+00 5.162571983113073415e-01
1.144717552073188704e+00 -1.201699660744819598e+00 5.173310080907497222e-01
1.141091085780016279e+00 -1.204126116753936548e+00 5.184001150892114662e-01
1.137493412181181052e+00 -1.206541836313259841e+00 5.194645519561007507e-01
1.133924177811421519e+00 -1.208946895197235083e+00 5.205243510702012300e-01
1.130383034980050772e+00 -1.211341368532756313e+00 5.215795445416729903e-01
1.126869641654226983e+00 -1.213725330804406699e+00 5.226301642141052417e-01
1.123383661345079165e+00 -1.216098855859736094e+00 5.236762416665101671e-01
1.119924762996486134e+00 -1.218462016914473089e+00 5.247178082153843848e-01
1.116492620876579300e+00 -1.220814886557791690e+00 5.257548949166899188e-01
1.113086914471721256e+00 -1.223157536757483621e+00 5.267875325679269860e-01
1.109707328383082503e+00 -1.225490038865195030e+00 5.278157517101120799e-01
1.106353552225576520e+00 -1.227812463621583472e+00 5.288395826298284419e-01
1.103025280529209340e+00 -1.230124881161502204e+00 5.298590553612200216e-01
1.099722212642696428e+00 -1.232427361019126089e+00 5.308741996880280700e-01
1.096444052639355071e+00 -1.234719972133095700e+00 5.318850451455799933e-01
1.093190509225145268e+00 -1.237002782851607918e+00 5.328916210228106243e-01
