# sigma, u, d0, d1
9.820816740646232113e-01 5.621785034829195338e-01 -2.787339881250635032e-01 -2.280550811932337829e-01
9.881720716293377338e-01 5.663428616781320812e-01 -2.772201343672874296e-01 -2.268164735732351722e-01
9.943390063077434116e-01 5.705610652560062501e-01 -2.757039002453745558e-01 -2.255759183825791769e-01
1.000583916674026019e+00 5.748341311256262021e-01 -2.741852835095695551e-01 -2.243334137805568507e-01
1.006908277500374149e+00 5.791631017951598404e-01 -2.726642819367420811e-01 -2.230889579482435436e-01
1.013313600902417511e+00 5.835490461818468866e-01 -2.711408933306873603e-01 -2.218425490887441509e-01
1.019801437528439214e+00 5.879930604529381988e-01 -2.696151155224313922e-01 -2.205941854274438563e-01
1.026373377794324249e+00 5.924962688989795501e-01 -2.680869463705335409e-01 -2.193438652122547128e-01
1.033031053166312496e+00 5.970598248408931497e-01 -2.665563837613935116e-01 -2.180915867138674136e-01
1.039776137493729324e+00 6.016849115724031138e-01 -2.650234256095585494e-01 -2.168373482260024521e-01
1.046610348393974599e+00 6.063727433394111577e-01 -2.634880698580311376e-01 -2.155811480656618095e-01
1.053535448692185739e+00 6.111245663580339160e-01 -2.619503144785798598e-01 -2.143229845733835015e-01
1.060553247918100350e+00 6.159416598730864667e-01 -2.604101574720498746e-01 -2.130628561134953192e-01
1.067665603862796520e+00 6.208253372589052077e-01 -2.588675968686748874e-01 -2.118007610743703195e-01
1.074874424198113632e+00 6.257769471644945014e-01 -2.573226307283915104e-01 -2.105366978686839530e-01
1.082181668161730892e+00 6.307978747050976276e-01 -2.557752571411532894e-01 -2.092706649336708580e-01
1.089589348311016170e+00 6.358895427023995017e-01 -2.542254742272469503e-01 -2.080026607313838760e-01
1.097099532348954076e+00 6.410534129756946253e-01 -2.526732801376096460e-01 -2.067326837489533442e-01
1.104714345025627820e+00 6.462909876864799674e-01 -2.511186730541468126e-01 -2.054607324988473871e-01
1.112435970118925255e+00 6.516038107390694778e-01 -2.495616511900519974e-01 -2.041868055191334574e-01
1.120266652498353332e+00 6.569934692399739262e-01 -2.480022127901275464e-01 -2.029109013737407097e-01
1.128208700276051690e+00 6.624615950189411961e-01 -2.464403561311053203e-01 -2.016330186527225121e-01
1.136264487049339245e+00 6.680098662147191391e-01 -2.448760795219706021e-01 -2.003531559725214017e-01
1.144436454239368128e+00 6.736400089287769566e-01 -2.433093813042847831e-01 -1.990713119762329841e-01
1.152727113530723324e+00 6.793537989504075947e-01 -2.417402598525109914e-01 -1.977874853338726091e-01
1.161139049417093227e+00 6.851530635568311434e-01 -2.401687135743392487e-01 -1.965016747426411858e-01
1.169674921858424810e+00 6.910396833921330639e-01 -2.385947409110140416e-01 -1.952138789271933295e-01
